killer,killer_team_id,victim,victim_team_id
RU-YzzY,47,EnTaroTemplr,17
Classik-XI,11,RenegadeRicochet,4
Classik-XI,11,Beth129,4
Rivendell69,25,Ah_Soul,23
Lewcubis,27,JHARAKE,18
MoonlyOvO,14,Raksass,30
MoonlyOvO,14,ahgeoeagoe,30
Lewcubis,27,JuliaGillard,39
balbags,18,Lewcubis,27
Jaedos,27,JeanneVB,39
ShortestGarry,40,nika_bear,24
RU-YzzY,47,Sounied,17
Jaedos,27,balbags,18
ShortestGarry,40,Derpy_Banana,24
Keegasaurus,11,PussyLikesPussy,2
Classik-XI,11,SomFlix,2
LuxcyXy,9,JNgirllovezma,45
CosbyDidHarambe,40,ShortestGarry,40
Damage_Instant_Fall,0,Jaedos,27
fukairplanecup,9,ZY00730,45
sosocool_5858,47,TomatoBloodCell,15
Hellfire_219,20,K-A-T-007,41
John-0819,5,GrandHitMan,42
sosocool_5858,47,Redleafvein,15
MarcoCaptain,38,XJLPENG_SIR,5
XxSim00bxX,42,John-0819,5
XxSim00bxX,42,MarcoCaptain,38
XxSim00bxX,42,Limebro88,38
sosocool_5858,47,XxSim00bxX,42
girishi,31,LuxcyXy,9
NlKEair,28,zuixuanni,16
ShootChang,28,ZachJW,16
fukairplanecup,9,girishi,31
Damage_Instant_Fall,0,dreadwolf572,29
Damage_Groggy_MISSING_KILLER,0,Donm572,29
ShootChang,28,Keegasaurus,11
ShootChang,28,Classik-XI,11
Damage_BlueZone,0,TanK2029,23
hookey090,7,CosbyDidHarambe,40
dillinger99,34,KoolFroot432,1
lil_cum9,35,hookey090,7
fukairplanecup,9,Claymedia,37
fukairplanecup,9,Z1GZAG,37
RU-YzzY,47,QJ-0321,48
KingLeonidas350z,33,sosocool_5858,47
KingLeonidas350z,33,RU-YzzY,47
Dagger554,33,DiNg_FcUk,36
Dagger554,33,Manbaaaaa,36
Damage_Groggy_MISSING_KILLER,0,jsjj19,3
lil-fella,34,Hellfire_219,20
dillinger99,34,NiNjAtImO,20
Damage_Instant_Fall,0,Rivendell69,25
Damage_Instant_Fall,0,cabooseMK2,25
lil-fella,34,deercatcher,49
lil-fella,34,xSnoozy,49
fukairplanecup,9,tainx,6
TranX0,6,fukairplanecup,9
ZzzloUoU,14,SNAGGLEtheBEAR,1
lil-fella,34,dillinger99,34
Damage_BlueZone,0,lil-fella,34
ruffandready,46,NlKEair,28
Aidanmans20,3,luluodashazi,32
MoonlyOvO,14,TranX0,6
Delusionnn,32,Aidanmans20,3
BIGTITZ,43,TikiTour,46
eponymoose,26,ShootChang,28
ruffandready,46,BIGTITZ,43
KingLeonidas350z,33,eponymoose,26
ruffandready,46,DragonMasterYBF,35
ruffandready,46,lil_cum9,35
Damage_BlueZone,0,BlackCorp720,7
ruffandready,46,ZzzloUoU,14
Stalkyard,26,MoonlyOvO,14
Dagger554,33,Delusionnn,32
ruffandready,46,KingLeonidas350z,33
Dagger554,33,Stalkyard,26
Dagger554,33,ruffandready,46
