killer,killer_team_id,victim,victim_team_id
Dengbairey,28,gflj,12
Joshhhhhhhhhh,20,GEEKWITHtheDEEK,30
Brask,11,Harikiri_,27
newza6969,28,Joshhhhhhhhhh,20
Tkne,11,IceWind_,27
MAX_dick_baby,17,striker6,1
AllenFlash,14,BetterCallSean,26
Land_Lubber,15,1230rita,8
Tr0jan1337,30,lvjinxiantaba,20
Cynista,15,XXXXubb,8
Brask,11,Dengbairey,28
Damage_Drown,0,Nice-Le666,19
Damage_Drown,0,xiannv6527,25
YSP-CW,26,wohaopi_,14
YSP-CW,26,AllenFlash,14
MAX_dick_baby,17,TheRoom219,1
Dengbairey,28,Tr0jan1337,30
WUDI_Edward,8,Cynista,15
Tkne,11,1024_NoWay,27
Brask,11,tonggarnraikrub,28
Godziv,7,battle333,1
CN1_OROCHI,9,hightimes333,6
wohaopi_,14,XT-CW,26
superms1234,14,YSP-CW,26
newza6969,28,newza6969,28
Godziv,7,ground4,1
Toastedsandwich,21,845930887,4
HAO-Chenxi,14,ZCN-CW,26
WUDI_Edward,8,Land_Lubber,15
Brask,11,Tommmo86,30
Daviddzhang,9,WreckDaScale,6
Tkne,11,lord-of-bullsh-t,20
philboss16,16,Too_Skuxx,13
H4dy,13,Zeronii,16
EskimoAircon,15,WUDI_Edward,8
NFN-SUS,16,H4dy,13
CrankyMuppet,21,hanx1993,4
Facktk,9,DYLZ886,6
GuoYuanLeiZz,4,Toastedsandwich,21
MAX_dick_baby,17,Niche14,16
CrankyMuppet,21,GuoYuanLeiZz,4
KillerBrian,12,Brask,11
KillerBrian,12,Tkne,11
ZhengCheng250,17,philboss16,16
MQloveZX,7,NFN-SUS,16
Damage_Instant_Fall,0,DouYuTV528480,4
Damage_Instant_Fall,0,EskimoAircon,15
MQloveZX,7,Tiezhuge,17
MQloveZX,7,MAX_dick_baby,17
ZhengCheng250,17,MQloveZX,7
DiaoJ007,3,HAO-Chenxi,14
ZhengCheng250,17,BKFChickenKing,7
ZhengCheng250,17,Godziv,7
ZhengCheng250,17,TODD1206,7
KillerBrian,12,CrankyMuppet,21
DiaoJ007,3,superms1234,14
pascoe26,21,KillerBrian,12
Ritalin,10,Facktk,9
TheFindian,18,HENRYGUAN,22
TheFindian,18,QT-HunTun,22
xXfuckoffXx,22,TheFindian,18
CN1_OROCHI,9,xXfuckoffXx,22
Damage_BlueZone,0,ZhengCheng250,17
Ritalin,10,pascoe26,21
Damage_BlueZone,0,tianxiaoheng_666,25
Damage_BlueZone,0,Maddog55,3
Black___Rose,29,salt-me,2
UnderHusk,10,eponymoose,10
DiaoJ007,3,Edgy_Boy,2
HUYA_SFKD,24,UnderHusk,10
Black___Rose,29,Grin_Guidam,2
DiaoJ007,3,NoobNatty,2
HUYA_SFKD,24,Ritalin,10
Hello_SFKD,24,Stalkyard,10
imcoolcool,5,DiaoJ007,3
Black___Rose,29,6020k,5
Flowers66,5,Black___Rose,29
Anime_Tiddy_Fan,29,Flowers66,5
Hello_SFKD,24,AlanSenpai,29
Anime_Tiddy_Fan,29,BabalaD,5
Anime_Tiddy_Fan,29,imcoolcool,5
Hello_SFKD,24,Teabageveryone,29
HUYA_SFKD,24,Daviddzhang,9
Anime_Tiddy_Fan,29,bbxd1,9
HUYA_SFKD,24,CN1_OROCHI,9
HUYA_SFKD,24,Anime_Tiddy_Fan,29
